symbol,start_date,end_date,enter_current_period,exit_current_period,enter_price,enter_price_open,exit_price,exit_price_open,pos_type,leverage,num_shares,PnL,PnL_percent
TGT,20030317,20030519,20,15,29.4,29.8,33.2,33.3,long,1,3365,11777.5,11.745
TGT,20030320,20030519,20,15,29.93,30.1,33.2,33.3,long,1,3309,10588.8,10.631
TGT,20030321,20030519,21,15,30.73,29.78,33.2,33.3,long,1,3132,11024.64,11.82
TGT,20030404,20030519,21,15,30.94,31.65,33.2,33.3,long,1,3295,5436.75,5.213
TGT,20030407,20030519,20,15,31.78,31.78,33.2,33.3,long,1,3084,4687.68,4.783
TGT,20030421,20030519,17,15,32.46,32.46,33.2,33.3,long,1,2900,2436.0,2.588
TGT,20030422,20030519,16,15,33.01,33.01,33.2,33.3,long,1,2806,813.74,0.879
TGT,20030506,20030519,15,15,34.33,34.33,33.2,33.3,long,1,2791,-2874.73,-3.0
TGT,20030508,20030519,15,15,34.78,34.78,33.2,33.3,long,1,2782,-4117.36,-4.255
TGT,20030509,20030519,15,15,35.27,35.15,33.2,33.3,long,1,2763,-5111.55,-5.263
TGT,20030512,20030519,15,15,36.13,34.32,33.2,33.3,long,1,2608,-2660.16,-2.972
TGT,20030602,20030909,17,15,37.16,37.17,38.0,39.03,long,1,2515,4677.9,5.004
TGT,20030707,20030909,15,15,38.64,38.55,38.0,39.03,long,1,2855,1370.4,1.245
TGT,20030708,20030909,15,15,39.82,39.5,38.0,39.03,long,1,2675,-1257.25,-1.19
TGT,20030812,20030909,16,15,40.0,40.0,38.0,39.03,long,1,2648,-2568.56,-2.425
TGT,20030829,20030909,16,15,40.6,40.8,38.0,39.03,long,1,2681,-4745.37,-4.338
TGT,20030902,20030909,16,15,41.51,41.75,38.0,39.03,long,1,2588,-7039.36,-6.515
TGT,20030903,20030909,15,15,41.54,41.0,38.0,39.03,long,1,2614,-5149.58,-4.805
TGT,20031009,20031022,20,18,40.4,40.29,39.11,39.11,long,1,2560,-3020.8,-2.929
TGT,20040210,20040414,29,34,41.3,41.25,42.86,43.05,long,1,2694,4849.2,4.364
TGT,20040211,20040414,30,34,41.65,41.25,42.86,43.05,long,1,2642,4755.6,4.364
TGT,20040218,20040414,34,34,42.29,42.9,42.86,43.05,long,1,2659,398.85,0.35
TGT,20040227,20040414,35,34,43.96,44.16,42.86,43.05,long,1,2335,-2591.85,-2.514
TGT,20040311,20040414,35,34,44.7,44.8,42.86,43.05,long,1,2050,-3587.5,-3.906
TGT,20040312,20040414,35,34,45.63,45.51,42.86,43.05,long,1,1972,-4851.12,-5.405
TGT,20040602,20040628,35,35,45.38,45.0,44.04,42.75,long,1,2329,-5240.25,-5.0
TGT,20040608,20040628,35,35,46.2,45.95,44.04,42.75,long,1,2267,-7254.4,-6.964
TGT,20040827,20041217,34,35,44.94,44.9,50.53,50.92,long,1,2451,14755.02,13.408
TGT,20040902,20041217,34,35,45.73,45.77,50.53,50.92,long,1,2544,13101.6,11.252
TGT,20040903,20041217,33,35,45.93,46.0,50.53,50.92,long,1,2510,12349.2,10.696
TGT,20041007,20041217,35,35,47.13,47.14,50.53,50.92,long,1,2471,9340.38,8.019
TGT,20041019,20041217,32,35,48.46,48.45,50.53,50.92,long,1,2122,5241.34,5.098
TGT,20041027,20041217,32,35,49.45,49.37,50.53,50.92,long,1,2094,3245.7,3.14
TGT,20041028,20041217,33,35,50.0,50.0,50.53,50.92,long,1,2080,1913.6,1.84
TGT,20041029,20041217,33,35,50.02,50.02,50.53,50.92,long,1,2117,1905.3,1.799
TGT,20041101,20041217,33,35,50.47,50.5,50.53,50.92,long,1,2077,872.34,0.832
TGT,20041105,20041217,35,35,51.83,51.65,50.53,50.92,long,1,1845,-1346.85,-1.413
TGT,20041115,20041217,35,35,52.43,51.35,50.53,50.92,long,1,1851,-795.93,-0.837
TGT,20050518,20050804,32,34,52.02,52.35,56.09,55.63,long,1,1743,5717.04,6.266
TGT,20050519,20050804,32,34,52.67,52.4,56.09,55.63,long,1,1734,5600.82,6.164
TGT,20050524,20050804,32,34,52.85,52.65,56.09,55.63,long,1,1776,5292.48,5.66
TGT,20050526,20050804,32,34,53.33,53.3,56.09,55.63,long,1,1777,4140.41,4.371
TGT,20050601,20050804,33,34,53.83,54.0,56.09,55.63,long,1,1873,3052.99,3.019
TGT,20050602,20050804,32,34,54.65,54.5,56.09,55.63,long,1,1822,2058.86,2.073
TGT,20050622,20050804,35,34,55.93,55.91,56.09,55.63,long,1,1763,-493.64,-0.501
TGT,20050707,20050804,35,34,56.42,56.63,56.09,55.63,long,1,1691,-1691.0,-1.766
TGT,20050708,20050804,35,34,56.93,57.48,56.09,55.63,long,1,1664,-3078.4,-3.219
TGT,20050712,20050804,35,34,58.26,58.25,56.09,55.63,long,1,1605,-4205.1,-4.498
