symbol,start_date,end_date,enter_current_period,exit_current_period,enter_price,enter_price_open,exit_price,exit_price_open,pos_type,leverage,num_shares,PnL,PnL_percent
CVX,20030305,20030311,15,15,32.975,32.98,31.87,31.87,long,1,5307,-5890.77,-3.366
CVX,20030502,20030519,17,16,32.675,33.0,33.155,33.3,long,1,5352,1605.6,0.909
CVX,20030505,20030519,17,16,33.59,33.6,33.155,33.3,long,1,5115,-1534.5,-0.893
CVX,20030512,20030519,15,16,34.125,34.125,33.155,33.3,long,1,4947,-4081.275,-2.418
CVX,20030513,20030519,15,16,34.325,34.575,33.155,33.3,long,1,4832,-6160.8,-3.688
CVX,20030527,20030627,15,20,35.325,34.62,36.19,36.175,long,1,4836,7519.98,4.492
CVX,20030602,20030627,15,20,36.04,36.04,36.19,36.175,long,1,4457,601.695,0.375
CVX,20030603,20030627,16,20,36.47,36.485,36.19,36.175,long,1,4382,-1358.42,-0.85
CVX,20030604,20030627,17,20,36.89,36.89,36.19,36.175,long,1,4264,-3048.76,-1.938
CVX,20030605,20030627,17,20,37.135,37.15,36.19,36.175,long,1,4212,-4106.7,-2.624
CVX,20030611,20030627,19,20,37.805,37.86,36.19,36.175,long,1,4114,-6932.09,-4.451
CVX,20030812,20030917,21,16,36.955,37.125,36.135,36.135,long,1,4724,-4676.76,-2.667
CVX,20031007,20031030,16,16,36.99,37.075,35.88,36.5,long,1,4718,-2712.85,-1.551
CVX,20031013,20031030,15,16,37.225,37.23,35.88,36.5,long,1,4606,-3362.38,-1.961
CVX,20031014,20031030,15,16,37.495,37.5,35.88,36.5,long,1,4493,-4493.0,-2.667
CVX,20031113,20040204,19,20,37.875,37.25,42.575,42.65,long,1,4603,24856.2,14.497
CVX,20031204,20040204,17,20,38.81,38.8,42.575,42.65,long,1,4413,16990.05,9.923
CVX,20031205,20040204,17,20,39.0,38.995,42.575,42.65,long,1,4315,15771.325,9.373
CVX,20031208,20040204,16,20,39.305,39.675,42.575,42.65,long,1,4206,12512.85,7.498
