Symbol,Date,Price,Total Value,Account Total Equity,Account Total Dollar,Num Units Traded,Reward,Period,Exit Period,Exploration Rate
AMZN,20030102,19.57,10000000.0,0.0,10000000.0,0,0.0,20,10,1.0
AMZN,20030103,20.52,10000000.0,0.0,10000000.0,0,0.0,19,9,1.0
AMZN,20030106,20.7,10000000.0,0.0,10000000.0,0,0.0,18,9,0.997
AMZN,20030107,21.55,10000000.0,0.0,10000000.0,0,0.0,17,8,0.994
AMZN,20030108,21.02,10000000.0,0.0,10000000.0,0,0.337,18,9,0.991
AMZN,20030109,21.45,10000000.0,0.0,10000000.0,0,0.075,18,9,0.988
AMZN,20030110,21.32,10000000.0,0.0,10000000.0,0,0.412,17,8,0.985
AMZN,20030113,22.04,10000000.0,0.0,10000000.0,0,0.0,18,9,0.982
AMZN,20030114,22.74,10000000.0,0.0,10000000.0,0,0.0,19,9,0.979
AMZN,20030115,22.27,10000000.0,0.0,10000000.0,0,0.337,18,9,0.976
AMZN,20030116,21.8,10000000.0,0.0,10000000.0,0,0.337,18,9,0.973
AMZN,20030117,21.4,10000000.0,0.0,10000000.0,0,0.45,18,9,0.97
AMZN,20030121,21.08,10000000.0,0.0,10000000.0,0,0.375,19,9,0.967
AMZN,20030122,21.17,10000000.0,0.0,10000000.0,0,0.487,19,9,0.965
AMZN,20030123,21.79,10000000.0,0.0,10000000.0,0,0.15,20,10,0.962
AMZN,20030124,22.11,10000000.0,0.0,10000000.0,0,0.375,19,9,0.959
AMZN,20030127,21.78,10000000.0,0.0,10000000.0,0,0.487,19,9,0.956
AMZN,20030128,21.62,10000000.0,0.0,10000000.0,0,0.525,20,10,0.953
AMZN,20030129,22.08,10000000.0,0.0,10000000.0,0,0.45,21,10,0.95
AMZN,20030130,21.82,10000000.0,0.0,10000000.0,0,0.187,21,10,0.947
AMZN,20030131,21.85,10000000.0,0.0,10000000.0,0,0.412,20,10,0.945
AMZN,20030203,22.16,10000000.0,0.0,10000000.0,0,0.525,20,10,0.942
AMZN,20030204,22.05,10000000.0,0.0,10000000.0,0,0.562,21,10,0.939
AMZN,20030205,22.17,10000000.0,0.0,10000000.0,0,0.225,22,11,0.936
AMZN,20030206,22.09,10000000.0,0.0,10000000.0,0,0.45,21,10,0.933
AMZN,20030207,21.44,10000000.0,0.0,10000000.0,0,0.45,21,10,0.93
AMZN,20030210,21.4,10000000.0,0.0,10000000.0,0,0.187,21,10,0.928
AMZN,20030211,20.78,10000000.0,0.0,10000000.0,0,0.525,20,10,0.925
AMZN,20030212,21.13,10000000.0,0.0,10000000.0,0,0.187,21,10,0.922
AMZN,20030213,20.06,10000000.0,0.0,10000000.0,0,0.0,20,10,0.919
AMZN,20030214,20.06,10000000.0,0.0,10000000.0,0,0.0,19,9,0.917
AMZN,20030218,21.39,10000000.0,0.0,10000000.0,0,0.0,20,10,0.914
AMZN,20030219,21.19,10000000.0,0.0,10000000.0,0,0.0,20,10,0.911
AMZN,20030220,21.36,10000000.0,0.0,10000000.0,0,0.0,19,9,0.908
AMZN,20030221,21.78,10000000.0,0.0,10000000.0,0,0.0,19,9,0.906
AMZN,20030224,21.78,10000000.0,0.0,10000000.0,0,0.0,19,9,0.903
AMZN,20030225,21.88,10000000.0,0.0,10000000.0,0,0.0,20,10,0.9
AMZN,20030226,21.64,10000000.0,0.0,10000000.0,0,0.0,19,9,0.897
AMZN,20030227,21.62,10000000.0,0.0,10000000.0,0,0.0,19,9,0.895
AMZN,20030228,22.01,10000000.0,0.0,10000000.0,0,0.0,19,9,0.892
AMZN,20030303,21.81,10000000.0,0.0,10000000.0,0,0.0,18,9,0.889
AMZN,20030304,22.27,10000000.0,0.0,10000000.0,0,0.0,18,9,0.887
AMZN,20030305,22.42,10000000.0,0.0,10000000.0,0,0.0,18,9,0.884
AMZN,20030306,22.69,10000000.0,0.0,10000000.0,0,0.1,17,8,0.881
AMZN,20030307,22.97,10001820.28,149327.97,9852492.31,0,0.023,16,8,0.879
AMZN,20030310,22.88,10000666.66,293275.84,9707390.82,0,0.0,15,7,0.876
AMZN,20030311,22.78,9999384.86,291994.04,9707390.82,0,0.0,15,7,0.874
AMZN,20030312,23.36,10006819.3,299428.48,9707390.82,0,0.337,15,7,0.871
AMZN,20030313,24.42,10027062.12,466348.74,9560713.38,0,0.075,15,7,0.868
AMZN,20030314,24.71,10034221.93,610065.19,9424156.74,0,0.038,15,7,0.866
AMZN,20030317,26.55,10089740.25,801093.15,9288647.1,0,0.0,15,7,0.863
AMZN,20030318,26.78,10097726.77,929908.72,9167818.05,0,0.0,16,8,0.861
AMZN,20030319,26.54,10088313.25,1040978.42,9047334.83,0,0.412,17,8,0.858
AMZN,20030320,27.45,10124006.18,1076671.35,9047334.83,0,0.0,18,9,0.855
AMZN,20030321,27.93,10144852.1,1212971.97,8931880.13,0,0.0,18,9,0.853
AMZN,20030324,26.23,10064085.1,1246187.3,8817897.8,0,0.038,17,8,0.85
AMZN,20030325,26.9,10095916.8,1278019.0,8817897.8,0,0.263,16,8,0.848
AMZN,20030326,27.76,10136775.4,1318877.6,8817897.8,0,0.263,16,8,0.845
AMZN,20030327,27.77,10137250.5,1319352.7,8817897.8,0,0.263,16,8,0.843
AMZN,20030328,27.18,10109219.6,1291321.8,8817897.8,0,-0.0,16,8,0.84
AMZN,20030331,26.03,10054583.1,1236685.3,8817897.8,0,0.0,15,7,0.838
AMZN,20030401,25.54,10031778.3,0.0,10031778.3,9,0.338,15,7,0.835
AMZN,20030402,26.38,10031778.3,0.0,10031778.3,9,-0.0,16,8,0.833
AMZN,20030403,26.65,10031778.3,0.0,10031778.3,9,-0.0,15,7,0.83
AMZN,20030404,26.22,10031778.3,0.0,10031778.3,9,0.225,15,7,0.828
AMZN,20030407,26.82,10031778.3,0.0,10031778.3,9,-0.0,15,7,0.825
AMZN,20030408,26.52,10031778.3,0.0,10031778.3,9,-0.0,15,7,0.823
AMZN,20030409,25.06,10031778.3,0.0,10031778.3,9,0.338,15,7,0.82
AMZN,20030410,25.67,10031778.3,0.0,10031778.3,9,0.263,16,8,0.818
AMZN,20030411,25.75,10031778.3,0.0,10031778.3,9,0.375,16,8,0.815
AMZN,20030414,25.05,10031778.3,0.0,10031778.3,9,0.412,17,8,0.813
AMZN,20030415,25.13,10031778.3,0.0,10031778.3,9,0.337,18,9,0.81
AMZN,20030416,24.38,10031778.3,0.0,10031778.3,9,0.0,18,9,0.808
AMZN,20030417,24.99,10031778.3,0.0,10031778.3,9,0.0,19,9,0.805
AMZN,20030421,25.25,10031778.3,0.0,10031778.3,9,0.0,19,9,0.803
AMZN,20030422,25.58,10031778.3,0.0,10031778.3,9,0.0,19,9,0.801
AMZN,20030423,25.43,10031778.3,0.0,10031778.3,9,0.0,20,10,0.798
AMZN,20030424,25.12,10031778.3,0.0,10031778.3,9,0.0,21,10,0.796
AMZN,20030425,28.97,10031778.3,0.0,10031778.3,9,0.225,22,11,0.793
AMZN,20030428,29.11,10032245.9,97227.4,9935018.5,9,0.562,21,10,0.791
AMZN,20030429,28.89,10030768.82,193967.46,9836801.36,9,0.0,22,11,0.789
AMZN,20030430,28.69,10029426.02,192624.66,9836801.36,9,0.0,21,10,0.786
AMZN,20030501,28.66,10029224.6,192423.24,9836801.36,9,0.0,20,10,0.784
AMZN,20030502,29.43,10034394.38,197593.02,9836801.36,9,0.187,21,10,0.782
AMZN,20030505,29.96,10039861.33,309037.4,9730823.93,9,0.15,20,10,0.779
AMZN,20030506,30.88,10052556.41,426113.12,9626443.29,9,0.487,19,9,0.777
AMZN,20030507,30.7,10049478.95,524877.9,9524601.05,9,0.0,20,10,0.775
AMZN,20030508,30.45,10045204.7,520603.65,9524601.05,9,0.0,19,9,0.772
AMZN,20030509,30.965,10054009.655,529408.605,9524601.05,9,0.0,18,9,0.77
AMZN,20030512,31.7,10066575.95,541974.9,9524601.05,9,0.3,17,8,0.768
AMZN,20030513,32.95,10092113.45,673168.5,9418944.95,9,0.038,17,8,0.765
AMZN,20030514,32.6,10083913.65,763752.8,9320160.85,9,0.0,16,8,0.763
AMZN,20030515,32.63,10084616.49,764455.64,9320160.85,9,0.0,16,8,0.761
AMZN,20030516,33.05,10094456.25,774295.4,9320160.85,9,0.0,15,7,0.758
AMZN,20030519,31.56,10059548.53,739387.68,9320160.85,9,0.0,16,8,0.756
AMZN,20030520,31.48,10057674.29,737513.44,9320160.85,9,0.0,16,8,0.754
AMZN,20030521,31.75,10063999.85,743839.0,9320160.85,9,0.0,17,8,0.752
AMZN,20030522,33.0,10093284.85,773124.0,9320160.85,9,0.0,16,8,0.749
AMZN,20030523,32.72,10086725.01,766564.16,9320160.85,9,0.0,15,7,0.747
AMZN,20030527,34.85,10136626.65,816465.8,9320160.85,9,0.0,15,7,0.745
AMZN,20030528,34.86,10136887.38,908904.78,9227982.6,9,0.338,15,7,0.743
AMZN,20030529,35.55,10154877.75,926895.15,9227982.6,9,-0.0,16,8,0.74
AMZN,20030530,35.89,10163742.57,935759.97,9227982.6,9,-0.0,15,7,0.738
AMZN,20030602,35.4,10150966.8,922984.2,9227982.6,9,-0.0,15,7,0.736
AMZN,20030603,35.23,10146534.39,918551.79,9227982.6,9,-0.0,15,7,0.734
AMZN,20030604,35.39,10150706.07,922723.47,9227982.6,9,-0.0,15,7,0.732
AMZN,20030605,35.52,10154095.56,926112.96,9227982.6,9,-0.0,15,7,0.729
AMZN,20030606,33.35,10097517.15,869534.55,9227982.6,9,0.0,15,7,0.727
AMZN,20030609,33.68,10126718.91,0.0,10126718.91,17,0.0,15,7,0.725
AMZN,20030610,34.07,10126718.91,0.0,10126718.91,17,0.0,15,7,0.723
AMZN,20030611,34.65,10126718.91,0.0,10126718.91,17,0.0,15,7,0.721
AMZN,20030612,35.201,10126718.91,0.0,10126718.91,17,0.0,15,7,0.719
AMZN,20030613,34.13,10126718.91,0.0,10126718.91,17,0.0,15,7,0.716
AMZN,20030616,35.84,10126718.91,0.0,10126718.91,17,0.0,15,7,0.714
AMZN,20030617,35.84,10126718.91,0.0,10126718.91,17,0.0,15,7,0.712
AMZN,20030618,35.85,10126718.91,0.0,10126718.91,17,0.0,15,7,0.71
AMZN,20030619,35.5,10126718.91,0.0,10126718.91,17,0.0,15,7,0.708
AMZN,20030620,35.04,10126718.91,0.0,10126718.91,17,0.0,16,8,0.706
AMZN,20030623,35.58,10126718.91,0.0,10126718.91,17,0.0,15,7,0.704
AMZN,20030624,35.4,10126718.91,0.0,10126718.91,17,0.0,15,7,0.702
AMZN,20030625,35.39,10126718.91,0.0,10126718.91,17,0.0,15,7,0.699
AMZN,20030626,36.72,10126718.91,0.0,10126718.91,17,-0.0,15,7,0.697
AMZN,20030627,36.3,10126718.91,0.0,10126718.91,17,0.0,15,7,0.695
AMZN,20030630,36.32,10126718.91,0.0,10126718.91,17,0.338,15,7,0.693
AMZN,20030701,37.25,10126718.91,0.0,10126718.91,17,0.0,16,8,0.691
AMZN,20030702,37.85,10128179.91,92164.75,10036015.16,17,0.0,17,8,0.689
AMZN,20030703,37.92,10128520.53,184518.72,9944001.81,17,0.0,16,8,0.687
AMZN,20030707,39.05,10136736.76,283932.55,9852804.21,17,0.0,15,7,0.685
AMZN,20030708,40.51,10150720.64,388004.78,9762715.86,17,0.0,16,8,0.683
AMZN,20030709,40.5,10150603.58,474093.0,9676510.58,17,0.338,15,7,0.681
AMZN,20030710,38.25,10124265.08,447754.5,9676510.58,17,-0.0,16,8,0.679
AMZN,20030711,37.65,10117241.48,440730.9,9676510.58,17,0.225,15,7,0.677
AMZN,20030714,39.27,10136205.2,459694.62,9676510.58,17,0.225,15,7,0.675
AMZN,20030715,38.43,10126372.16,449861.58,9676510.58,17,0.225,15,7,0.673
AMZN,20030716,37.68,10117592.66,441082.08,9676510.58,17,0.225,15,7,0.671
AMZN,20030717,36.32,10101672.5,425161.92,9676510.58,17,0.0,15,7,0.669
AMZN,20030718,34.98,10101672.5,0.0,10101672.5,22,0.0,16,8,0.667
AMZN,20030721,35.33,10101672.5,0.0,10101672.5,22,0.0,16,8,0.665
AMZN,20030722,34.87,10101672.5,0.0,10101672.5,22,0.0,15,7,0.663
AMZN,20030723,40.11,10101672.5,0.0,10101672.5,22,0.225,15,7,0.661
AMZN,20030724,41.31,10101672.5,0.0,10101672.5,22,0.0,15,7,0.659
AMZN,20030725,41.6,10102132.44,65977.6,10036154.84,22,-0.0,15,7,0.657
AMZN,20030728,42.08,10102893.72,66738.88,10036154.84,22,0.225,15,7,0.655
AMZN,20030729,41.39,10101799.38,65644.54,10036154.84,22,0.338,15,7,0.653
AMZN,20030730,40.66,10100641.6,64486.76,10036154.84,22,-0.0,16,8,0.651
AMZN,20030731,41.64,10102195.88,66041.04,10036154.84,22,0.225,15,7,0.649
AMZN,20030801,40.03,10099642.42,63487.58,10036154.84,22,0.225,15,7,0.647
AMZN,20030804,39.65,10099039.74,62884.9,10036154.84,22,0.0,15,7,0.645
AMZN,20030805,38.67,10098389.48,0.0,10098389.48,23,0.0,15,7,0.643
AMZN,20030806,38.94,10098389.48,0.0,10098389.48,23,0.0,15,7,0.641
AMZN,20030807,39.01,10098389.48,0.0,10098389.48,23,0.0,15,7,0.639
