Symbol,Date,Price,Total Value,Account Total Equity,Account Total Dollar,Num Units Traded,Reward,Period,Exit Period,Exploration Rate
M,20070601,40.58,10000000.0,0.0,10000000.0,0,0.412,20,10,1.0
M,20070604,40.23,10000000.0,0.0,10000000.0,0,0.525,20,10,1.0
M,20070605,40.07,10000000.0,0.0,10000000.0,0,0.187,21,10,0.997
M,20070606,39.5,10000000.0,0.0,10000000.0,0,0.412,20,10,0.994
M,20070607,38.43,10000000.0,0.0,10000000.0,0,0.15,20,10,0.991
M,20070608,39.15,10000000.0,0.0,10000000.0,0,0.487,19,9,0.988
M,20070611,39.11,10000000.0,0.0,10000000.0,0,0.525,20,10,0.985
M,20070612,38.9,10000000.0,0.0,10000000.0,0,0.562,21,10,0.982
M,20070613,39.13,10000000.0,0.0,10000000.0,0,0.6,22,11,0.979
M,20070614,39.45,10000000.0,0.0,10000000.0,0,0.263,23,11,0.976
M,20070615,38.95,10000000.0,0.0,10000000.0,0,0.6,22,11,0.973
M,20070618,38.89,10000000.0,0.0,10000000.0,0,0.638,23,11,0.97
M,20070619,38.65,10000000.0,0.0,10000000.0,0,0.3,24,12,0.967
M,20070620,38.58,10000000.0,0.0,10000000.0,0,0.638,23,11,0.965
M,20070621,38.87,10000000.0,0.0,10000000.0,0,0.562,24,12,0.962
M,20070622,41.43,10000000.0,0.0,10000000.0,0,0.0,24,12,0.959
M,20070625,40.54,10000000.0,0.0,10000000.0,0,0.675,24,12,0.956
M,20070626,39.59,10000000.0,0.0,10000000.0,0,0.338,25,12,0.953
M,20070627,39.19,10000000.0,0.0,10000000.0,0,0.3,24,12,0.95
M,20070628,39.67,10000000.0,0.0,10000000.0,0,0.263,23,11,0.947
M,20070629,39.78,10000000.0,0.0,10000000.0,0,0.6,22,11,0.945
M,20070702,39.83,10000000.0,0.0,10000000.0,0,0.525,23,11,0.942
M,20070703,39.36,10000000.0,0.0,10000000.0,0,0.525,23,11,0.939
M,20070705,39.77,10000000.0,0.0,10000000.0,0,0.638,23,11,0.936
M,20070706,41.99,10000000.0,0.0,10000000.0,0,0.675,24,12,0.933
M,20070709,41.65,10000000.0,0.0,10000000.0,0,0.713,25,12,0.93
M,20070710,40.13,10000000.0,0.0,10000000.0,0,0.75,26,13,0.928
M,20070711,40.41,10000000.0,0.0,10000000.0,0,0.412,27,13,0.925
M,20070712,39.25,10000000.0,0.0,10000000.0,0,0.375,26,13,0.922
M,20070713,39.75,10000000.0,0.0,10000000.0,0,0.713,25,12,0.919
M,20070716,40.14,10000000.0,0.0,10000000.0,0,0.375,26,13,0.917
M,20070717,40.03,10000000.0,0.0,10000000.0,0,0.6,25,12,0.914
M,20070718,43.09,10000000.0,0.0,10000000.0,0,0.0,25,12,0.911
M,20070719,42.4,9998746.27,77040.8,9921705.47,0,0.562,24,12,0.908
M,20070720,41.92,9997874.11,76168.64,9921705.47,0,0.562,24,12,0.906
M,20070723,41.86,9997765.09,76059.62,9921705.47,0,0.675,24,12,0.903
M,20070724,40.84,9995911.75,74206.28,9921705.47,0,0.338,25,12,0.9
M,20070725,40.15,9994658.02,72952.55,9921705.47,0,0.3,24,12,0.897
M,20070726,38.04,9990824.15,69118.68,9921705.47,0,0.0,23,11,0.895
M,20070727,36.9,9990751.47,0.0,9990751.47,1,0.562,24,12,0.892
M,20070730,36.59,9990751.47,0.0,9990751.47,1,0.3,24,12,0.889
M,20070731,36.07,9990751.47,0.0,9990751.47,1,0.263,23,11,0.887
M,20070801,35.6,9990751.47,0.0,9990751.47,1,0.225,22,11,0.884
M,20070802,35.96,9990751.47,0.0,9990751.47,1,0.562,21,10,0.881
M,20070803,33.7,9990751.47,0.0,9990751.47,1,0.225,22,11,0.879
M,20070806,34.89,9990751.47,0.0,9990751.47,1,0.45,21,10,0.876
M,20070807,34.6,9990751.47,0.0,9990751.47,1,0.187,21,10,0.874
M,20070808,35.54,9990751.47,0.0,9990751.47,1,0.525,20,10,0.871
M,20070809,33.56,9990751.47,0.0,9990751.47,1,0.187,21,10,0.868
M,20070810,33.63,9990751.47,0.0,9990751.47,1,0.525,20,10,0.866
M,20070813,33.36,9990751.47,0.0,9990751.47,1,0.45,21,10,0.863
M,20070814,31.73,9990751.47,0.0,9990751.47,1,0.0,21,10,0.861
M,20070815,31.1,9990751.47,0.0,9990751.47,1,0.525,20,10,0.858
M,20070816,30.33,9990751.47,0.0,9990751.47,1,0.562,21,10,0.855
M,20070817,30.91,9990751.47,0.0,9990751.47,1,0.6,22,11,0.853
M,20070820,30.74,9990751.47,0.0,9990751.47,1,0.638,23,11,0.85
M,20070821,30.63,9990751.47,0.0,9990751.47,1,0.675,24,12,0.848
M,20070822,31.13,9990751.47,0.0,9990751.47,1,0.6,25,12,0.845
M,20070823,31.13,9990751.47,0.0,9990751.47,1,0.338,25,12,0.843
M,20070824,31.78,9990751.47,0.0,9990751.47,1,0.3,24,12,0.84
M,20070827,31.4,9990751.47,0.0,9990751.47,1,0.525,23,11,0.838
M,20070828,29.85,9990751.47,0.0,9990751.47,1,0.525,23,11,0.835
M,20070829,31.69,9990751.47,0.0,9990751.47,1,0.263,23,11,0.833
M,20070830,30.87,9990751.47,0.0,9990751.47,1,0.488,22,11,0.83
M,20070831,31.72,9990751.47,0.0,9990751.47,1,0.488,22,11,0.828
M,20070904,31.47,9990751.47,0.0,9990751.47,1,0.225,22,11,0.825
M,20070905,30.57,9990751.47,0.0,9990751.47,1,0.187,21,10,0.823
M,20070906,30.87,9990751.47,0.0,9990751.47,1,0.525,20,10,0.82
M,20070907,29.76,9990751.47,0.0,9990751.47,1,0.0,21,10,0.818
M,20070910,29.21,9990751.47,0.0,9990751.47,1,0.0,20,10,0.815
M,20070911,29.6,9990751.47,0.0,9990751.47,1,0.0,21,10,0.813
M,20070912,28.83,9990751.47,0.0,9990751.47,1,0.0,21,10,0.81
M,20070913,29.25,9990751.47,0.0,9990751.47,1,0.0,20,10,0.808
M,20070914,30.18,9990751.47,0.0,9990751.47,1,0.0,19,9,0.805
M,20070917,29.95,9990751.47,0.0,9990751.47,1,0.0,18,9,0.803
M,20070918,32.44,9990751.47,0.0,9990751.47,1,-0.2,17,8,0.801
M,20070919,33.72,9993733.87,78567.6,9915166.27,1,-0.2,16,8,0.798
M,20070920,32.37,9987611.62,146797.95,9840813.67,1,-0.037,16,8,0.796
M,20070921,33.12,9991012.87,150199.2,9840813.67,1,-0.0,15,7,0.793
M,20070924,32.95,9990241.92,149428.25,9840813.67,1,0.225,15,7,0.791
M,20070925,31.91,9985525.52,144711.85,9840813.67,1,0.225,15,7,0.789
M,20070926,32.55,9988427.92,147614.25,9840813.67,1,0.225,15,7,0.786
M,20070927,32.0,9985933.67,145120.0,9840813.67,1,-0.0,15,7,0.784
M,20070928,32.32,9987384.87,146571.2,9840813.67,1,0.338,15,7,0.782
M,20071001,33.28,9991738.47,150924.8,9840813.67,1,-0.0,16,8,0.779
M,20071002,34.36,9996636.27,155822.6,9840813.67,1,-0.068,15,7,0.777
M,20071003,34.57,9998064.06,235041.43,9763022.63,1,0.0,16,8,0.775
M,20071004,33.98,9992741.67,306533.58,9686208.09,1,0.3,17,8,0.772
M,20071005,35.1,10002845.19,316637.1,9686208.09,1,0.412,17,8,0.77
M,20071008,34.12,9994004.61,307796.52,9686208.09,1,0.337,18,9,0.768
M,20071009,34.02,9993102.51,306894.42,9686208.09,1,0.075,18,9,0.765
M,20071010,34.5,9997432.59,311224.5,9686208.09,1,0.3,17,8,0.763
M,20071011,33.84,9991478.73,305270.64,9686208.09,1,0.412,17,8,0.761
M,20071012,33.05,9984352.14,298144.05,9686208.09,1,0.45,18,9,0.758
M,20071015,32.35,9978037.44,291829.35,9686208.09,1,0.487,19,9,0.756
M,20071016,31.66,9971812.95,285604.86,9686208.09,1,0.0,20,10,0.754
M,20071017,31.76,9974519.25,0.0,9974519.25,5,0.375,19,9,0.752
M,20071018,31.38,9974519.25,0.0,9974519.25,5,0.487,19,9,0.749
M,20071019,30.24,9974519.25,0.0,9974519.25,5,0.525,20,10,0.747
M,20071022,30.95,9974519.25,0.0,9974519.25,5,0.562,21,10,0.745
M,20071023,31.25,9974519.25,0.0,9974519.25,5,0.6,22,11,0.743
M,20071024,31.5,9974519.25,0.0,9974519.25,5,0.263,23,11,0.74
M,20071025,32.46,9974519.25,0.0,9974519.25,5,0.6,22,11,0.738
M,20071026,33.0,9974519.25,0.0,9974519.25,5,0.638,23,11,0.736
M,20071029,33.42,9974519.25,0.0,9974519.25,5,0.675,24,12,0.734
M,20071030,32.31,9974519.25,0.0,9974519.25,5,0.713,25,12,0.732
M,20071031,32.03,9974519.25,0.0,9974519.25,5,0.637,26,13,0.729
M,20071101,31.54,9974519.25,0.0,9974519.25,5,0.75,26,13,0.727
M,20071102,31.11,9974519.25,0.0,9974519.25,5,0.787,27,13,0.725
M,20071105,30.7,9974519.25,0.0,9974519.25,5,0.712,28,14,0.723
M,20071106,30.51,9974519.25,0.0,9974519.25,5,0.45,28,14,0.721
M,20071107,29.91,9974519.25,0.0,9974519.25,5,0.412,27,13,0.719
M,20071108,29.89,9974519.25,0.0,9974519.25,5,0.75,26,13,0.716
M,20071109,28.49,9974519.25,0.0,9974519.25,5,0.412,27,13,0.714
M,20071112,28.75,9974519.25,0.0,9974519.25,5,0.375,26,13,0.712
M,20071113,30.65,9974519.25,0.0,9974519.25,5,0.6,25,12,0.71
M,20071114,28.47,9974519.25,0.0,9974519.25,5,0.6,25,12,0.708
M,20071115,28.55,9974519.25,0.0,9974519.25,5,0.6,25,12,0.706
M,20071116,28.32,9974519.25,0.0,9974519.25,5,0.6,25,12,0.704
M,20071119,27.3,9974519.25,0.0,9974519.25,5,0.0,25,12,0.702
M,20071120,28.45,9974519.25,0.0,9974519.25,5,0.0,25,12,0.699
M,20071121,28.5,9974519.25,0.0,9974519.25,5,0.0,24,12,0.697
M,20071123,30.03,9974519.25,0.0,9974519.25,5,0.263,23,11,0.695
M,20071126,28.21,9974519.25,0.0,9974519.25,5,0.0,22,11,0.693
M,20071127,28.52,9974519.25,0.0,9974519.25,5,0.0,21,10,0.691
M,20071128,29.81,9974519.25,0.0,9974519.25,5,0.225,22,11,0.689
M,20071129,29.3,9974519.25,0.0,9974519.25,5,0.562,21,10,0.687
M,20071130,29.65,9974519.25,0.0,9974519.25,5,0.6,22,11,0.685
M,20071203,29.74,9974519.25,0.0,9974519.25,5,0.525,23,11,0.683
M,20071204,30.59,9974519.25,0.0,9974519.25,5,0.638,23,11,0.681
M,20071205,31.21,9974519.25,0.0,9974519.25,5,0.3,24,12,0.679
M,20071206,29.81,9974519.25,0.0,9974519.25,5,0.525,23,11,0.677
M,20071207,30.51,9974519.25,0.0,9974519.25,5,0.263,23,11,0.675
M,20071210,30.4,9974519.25,0.0,9974519.25,5,0.225,22,11,0.673
M,20071211,29.09,9974519.25,0.0,9974519.25,5,0.187,21,10,0.671
M,20071212,28.74,9974519.25,0.0,9974519.25,5,0.0,20,10,0.669
M,20071213,28.63,9974519.25,0.0,9974519.25,5,0.525,20,10,0.667
M,20071214,27.77,9974519.25,0.0,9974519.25,5,0.562,21,10,0.665
M,20071217,27.52,9974519.25,0.0,9974519.25,5,0.225,22,11,0.663
M,20071218,27.76,9974519.25,0.0,9974519.25,5,0.187,21,10,0.661
M,20071219,26.7,9974519.25,0.0,9974519.25,5,0.525,20,10,0.659
M,20071220,26.07,9974519.25,0.0,9974519.25,5,0.562,21,10,0.657
M,20071221,26.54,9974519.25,0.0,9974519.25,5,0.225,22,11,0.655
M,20071224,27.01,9974519.25,0.0,9974519.25,5,0.562,21,10,0.653
M,20071226,25.95,9974519.25,0.0,9974519.25,5,0.6,22,11,0.651
M,20071227,25.04,9974519.25,0.0,9974519.25,5,0.638,23,11,0.649
M,20071228,25.48,9974519.25,0.0,9974519.25,5,0.675,24,12,0.647
M,20071231,25.87,9974519.25,0.0,9974519.25,5,0.713,25,12,0.645
M,20080102,24.99,9974519.25,0.0,9974519.25,5,0.375,26,13,0.643
M,20080103,23.57,9974519.25,0.0,9974519.25,5,0.0,25,12,0.641
M,20080104,22.4,9974519.25,0.0,9974519.25,5,0.0,26,13,0.639
M,20080107,22.86,9974519.25,0.0,9974519.25,5,0.0,27,13,0.637
M,20080108,21.82,9974519.25,0.0,9974519.25,5,0.0,27,13,0.635
M,20080109,22.67,9974519.25,0.0,9974519.25,5,0.0,28,14,0.633
M,20080110,22.6,9974519.25,0.0,9974519.25,5,0.0,29,14,0.631
M,20080111,21.31,9974519.25,0.0,9974519.25,5,0.0,29,14,0.63
M,20080114,21.99,9974519.25,0.0,9974519.25,5,0.0,29,14,0.628
M,20080115,21.65,9974519.25,0.0,9974519.25,5,0.0,29,14,0.626
M,20080116,22.49,9974519.25,0.0,9974519.25,5,0.0,29,14,0.624
M,20080117,22.62,9974519.25,0.0,9974519.25,5,0.0,30,15,0.622
M,20080118,23.05,9974519.25,0.0,9974519.25,5,0.0,31,15,0.62
M,20080122,24.3,9974519.25,0.0,9974519.25,5,0.525,30,15,0.618
M,20080123,25.41,9974519.25,0.0,9974519.25,5,0.862,29,14,0.616
M,20080124,25.38,9974519.25,0.0,9974519.25,5,0.525,30,15,0.615
M,20080125,24.95,9974519.25,0.0,9974519.25,5,0.487,29,14,0.613
M,20080128,25.7,9974519.25,0.0,9974519.25,5,0.825,28,14,0.611
M,20080129,26.6,9974519.25,0.0,9974519.25,5,0.369,29,14,0.609
M,20080130,26.73,9974519.25,0.0,9974519.25,5,0.287,28,14,0.607
M,20080131,27.62,9974519.25,0.0,9974519.25,5,0.364,27,13,0.605
M,20080201,28.0,9974519.25,0.0,9974519.25,5,0.787,28,14,0.604
M,20080204,27.04,9974519.25,0.0,9974519.25,5,0.862,29,14,0.602
M,20080205,25.1,9974519.25,0.0,9974519.25,5,0.787,30,15,0.6
M,20080206,23.94,9974519.25,0.0,9974519.25,5,0.6,30,15,0.598
M,20080207,25.11,9974519.25,0.0,9974519.25,5,0.825,31,15,0.596
M,20080208,24.2,9974519.25,0.0,9974519.25,5,0.825,31,15,0.595
M,20080211,25.07,9974519.25,0.0,9974519.25,5,0.562,31,15,0.593
M,20080212,24.79,9974519.25,0.0,9974519.25,5,0.6,32,16,0.591
M,20080213,24.43,9974519.25,0.0,9974519.25,5,0.562,31,15,0.589
M,20080214,24.1,9974519.25,0.0,9974519.25,5,0.6,32,16,0.588
M,20080215,25.38,9974519.25,0.0,9974519.25,5,0.562,31,15,0.586
M,20080219,24.51,9974519.25,0.0,9974519.25,5,0.6,30,15,0.584
M,20080220,24.93,9974519.25,0.0,9974519.25,5,0.562,31,15,0.582
M,20080221,24.65,9974519.25,0.0,9974519.25,5,0.525,32,16,0.581
M,20080222,24.62,9974519.25,0.0,9974519.25,5,0.487,33,16,0.579
M,20080225,24.76,9974519.25,0.0,9974519.25,5,0.825,34,17,0.577
M,20080226,26.52,9974519.25,0.0,9974519.25,5,0.75,33,16,0.575
M,20080227,26.55,9974519.25,0.0,9974519.25,5,0.75,33,16,0.574
M,20080228,25.53,9974519.25,0.0,9974519.25,5,0.75,33,16,0.572
M,20080229,24.68,9974519.25,0.0,9974519.25,5,0.487,33,16,0.57
M,20080303,24.73,9974519.25,0.0,9974519.25,5,0.45,34,17,0.568
M,20080304,25.2,9974519.25,0.0,9974519.25,5,0.45,35,17,0.567
M,20080305,25.28,9974519.25,0.0,9974519.25,5,0.787,35,17,0.565
M,20080306,23.56,9974519.25,0.0,9974519.25,5,0.0,34,17,0.563
M,20080307,23.41,9974519.25,0.0,9974519.25,5,0.487,33,16,0.562
M,20080310,23.26,9974519.25,0.0,9974519.25,5,0.45,34,17,0.56
M,20080311,24.11,9974519.25,0.0,9974519.25,5,0.675,35,17,0.558
M,20080312,23.2,9974519.25,0.0,9974519.25,5,0.45,35,17,0.557
M,20080313,23.26,9974519.25,0.0,9974519.25,5,0.45,35,17,0.555
M,20080314,22.53,9974519.25,0.0,9974519.25,5,0.45,35,17,0.553
M,20080317,21.54,9974519.25,0.0,9974519.25,5,0.0,35,17,0.552
M,20080318,22.66,9974519.25,0.0,9974519.25,5,0.45,35,17,0.55
M,20080319,23.23,9974519.25,0.0,9974519.25,5,0.45,35,17,0.548
M,20080320,24.85,9974519.25,0.0,9974519.25,5,0.45,35,17,0.547
M,20080324,26.33,9974519.25,0.0,9974519.25,5,0.782,35,17,0.545
M,20080325,25.52,9974519.25,0.0,9974519.25,5,0.45,34,17,0.543
M,20080326,24.17,9974519.25,0.0,9974519.25,5,0.45,35,17,0.542
M,20080327,23.36,9974519.25,0.0,9974519.25,5,0.787,35,17,0.54
M,20080328,21.97,9974519.25,0.0,9974519.25,5,0.0,34,17,0.539
M,20080331,23.06,9974519.25,0.0,9974519.25,5,0.675,35,17,0.537
M,20080401,24.67,9974519.25,0.0,9974519.25,5,0.787,35,17,0.535
M,20080402,24.65,9974519.25,0.0,9974519.25,5,0.712,34,17,0.534
M,20080403,24.46,9974519.25,0.0,9974519.25,5,0.712,34,17,0.532
M,20080404,23.92,9974519.25,0.0,9974519.25,5,0.825,34,17,0.53
M,20080407,23.88,9974519.25,0.0,9974519.25,5,0.487,33,16,0.529
M,20080408,24.18,9974519.25,0.0,9974519.25,5,0.825,34,17,0.527
M,20080409,23.21,9974519.25,0.0,9974519.25,5,0.862,33,16,0.526
M,20080410,23.63,9974519.25,0.0,9974519.25,5,0.525,32,16,0.524
M,20080411,23.12,9974519.25,0.0,9974519.25,5,0.75,33,16,0.523
M,20080414,22.78,9974519.25,0.0,9974519.25,5,0.487,33,16,0.521
M,20080415,22.98,9974519.25,0.0,9974519.25,5,0.825,34,17,0.519
M,20080416,22.44,9974519.25,0.0,9974519.25,5,0.0,33,16,0.518
M,20080417,22.69,9974519.25,0.0,9974519.25,5,0.862,33,16,0.516
M,20080418,23.72,9974519.25,0.0,9974519.25,5,0.6,32,16,0.515
M,20080421,24.01,9974519.25,0.0,9974519.25,5,0.562,31,15,0.513
M,20080422,23.33,9974519.25,0.0,9974519.25,5,0.525,32,16,0.512
M,20080423,23.2,9974519.25,0.0,9974519.25,5,0.75,33,16,0.51
M,20080424,24.36,9974519.25,0.0,9974519.25,5,0.75,33,16,0.509
M,20080425,25.57,9974519.25,0.0,9974519.25,5,0.762,33,16,0.507
M,20080428,25.49,9974519.25,0.0,9974519.25,5,0.487,33,16,0.506
M,20080429,25.85,9974519.25,0.0,9974519.25,5,0.375,34,17,0.504
M,20080430,25.29,9974519.25,0.0,9974519.25,5,0.45,35,17,0.503
M,20080501,26.3,9974519.25,0.0,9974519.25,5,0.45,35,17,0.501
M,20080502,26.3,9974519.25,0.0,9974519.25,5,0.45,35,17,0.5
M,20080505,25.09,9974519.25,0.0,9974519.25,5,0.45,35,17,0.498
M,20080506,25.38,9974519.25,0.0,9974519.25,5,0.45,35,17,0.497
M,20080507,24.73,9974519.25,0.0,9974519.25,5,0.45,35,17,0.495
M,20080508,23.87,9974519.25,0.0,9974519.25,5,0.45,35,17,0.494
M,20080509,23.21,9974519.25,0.0,9974519.25,5,0.787,35,17,0.492
M,20080512,23.97,9974519.25,0.0,9974519.25,5,0.45,34,17,0.491
M,20080513,24.06,9974519.25,0.0,9974519.25,5,0.45,35,17,0.489
M,20080514,24.93,9974519.25,0.0,9974519.25,5,0.787,35,17,0.488
M,20080515,25.32,9974519.25,0.0,9974519.25,5,0.45,34,17,0.486
M,20080516,25.22,9974519.25,0.0,9974519.25,5,0.45,35,17,0.485
M,20080519,24.82,9974519.25,0.0,9974519.25,5,0.787,35,17,0.483
M,20080520,24.56,9974519.25,0.0,9974519.25,5,0.45,34,17,0.482
M,20080521,23.18,9974519.25,0.0,9974519.25,5,0.45,35,17,0.48
M,20080522,23.21,9974519.25,0.0,9974519.25,5,0.675,35,17,0.479
M,20080523,22.49,9974519.25,0.0,9974519.25,5,0.0,35,17,0.478
M,20080527,22.86,9974519.25,0.0,9974519.25,5,0.45,35,17,0.476
M,20080528,23.33,9974519.25,0.0,9974519.25,5,0.45,35,17,0.475
M,20080529,24.07,9974519.25,0.0,9974519.25,5,0.675,35,17,0.473
M,20080530,23.67,9974519.25,0.0,9974519.25,5,0.675,35,17,0.472
M,20080602,22.82,9974519.25,0.0,9974519.25,5,0.45,35,17,0.47
M,20080603,22.86,9974519.25,0.0,9974519.25,5,0.45,35,17,0.469
M,20080604,22.44,9974519.25,0.0,9974519.25,5,0.45,35,17,0.468
M,20080605,23.33,9974519.25,0.0,9974519.25,5,0.45,35,17,0.466
M,20080606,22.25,9974519.25,0.0,9974519.25,5,0.675,35,17,0.465
M,20080609,21.56,9974519.25,0.0,9974519.25,5,0.45,35,17,0.463
M,20080610,21.95,9974519.25,0.0,9974519.25,5,0.787,35,17,0.462
M,20080611,20.86,9974519.25,0.0,9974519.25,5,0.45,34,17,0.461
M,20080612,21.31,9974519.25,0.0,9974519.25,5,0.675,35,17,0.459
M,20080613,22.16,9974519.25,0.0,9974519.25,5,0.787,35,17,0.458
M,20080616,22.35,9974519.25,0.0,9974519.25,5,0.45,34,17,0.456
M,20080617,22.05,9974519.25,0.0,9974519.25,5,0.675,35,17,0.455
M,20080618,21.02,9974519.25,0.0,9974519.25,5,0.675,35,17,0.454
M,20080619,21.7,9974519.25,0.0,9974519.25,5,0.675,35,17,0.452
M,20080620,20.91,9974519.25,0.0,9974519.25,5,0.675,35,17,0.451
M,20080623,20.13,9974519.25,0.0,9974519.25,5,0.0,35,17,0.45
M,20080624,19.4,9974519.25,0.0,9974519.25,5,0.675,35,17,0.448
M,20080625,20.02,9974519.25,0.0,9974519.25,5,0.675,35,17,0.447
M,20080626,19.48,9974519.25,0.0,9974519.25,5,0.45,35,17,0.446
M,20080627,19.53,9974519.25,0.0,9974519.25,5,0.675,35,17,0.444
M,20080630,19.42,9974519.25,0.0,9974519.25,5,0.675,35,17,0.443
M,20080701,19.35,9974519.25,0.0,9974519.25,5,0.675,35,17,0.442
M,20080702,18.83,9974519.25,0.0,9974519.25,5,0.675,35,17,0.44
M,20080703,18.5,9974519.25,0.0,9974519.25,5,0.0,35,17,0.439
M,20080707,18.58,9974519.25,0.0,9974519.25,5,0.675,35,17,0.438
M,20080708,18.88,9974519.25,0.0,9974519.25,5,0.675,35,17,0.436
M,20080709,18.04,9974519.25,0.0,9974519.25,5,0.0,35,17,0.435
M,20080710,16.39,9974519.25,0.0,9974519.25,5,0.0,35,17,0.434
M,20080711,15.58,9974519.25,0.0,9974519.25,5,0.0,35,17,0.432
M,20080714,16.28,9974519.25,0.0,9974519.25,5,0.0,35,17,0.431
M,20080715,15.91,9974519.25,0.0,9974519.25,5,0.0,35,17,0.43
M,20080716,17.42,9974519.25,0.0,9974519.25,5,0.0,35,17,0.429
M,20080717,18.42,9974519.25,0.0,9974519.25,5,0.0,35,17,0.427
M,20080718,18.09,9974519.25,0.0,9974519.25,5,0.0,35,17,0.426
M,20080721,17.72,9974519.25,0.0,9974519.25,5,0.0,35,17,0.425
M,20080722,18.55,9974519.25,0.0,9974519.25,5,0.675,35,17,0.423
M,20080723,19.15,9974519.25,0.0,9974519.25,5,0.675,35,17,0.422
M,20080724,18.31,9974519.25,0.0,9974519.25,5,0.0,35,17,0.421
M,20080725,18.07,9974519.25,0.0,9974519.25,5,0.0,35,17,0.42
M,20080728,17.61,9974519.25,0.0,9974519.25,5,0.0,35,17,0.418
M,20080729,18.58,9974519.25,0.0,9974519.25,5,0.675,35,17,0.417
M,20080730,18.94,9974519.25,0.0,9974519.25,5,0.787,35,17,0.416
M,20080731,18.81,9974519.25,0.0,9974519.25,5,0.712,34,17,0.415
M,20080801,18.17,9974519.25,0.0,9974519.25,5,0.0,34,17,0.413
M,20080804,17.89,9974519.25,0.0,9974519.25,5,0.0,34,17,0.412
M,20080805,19.49,9974519.25,0.0,9974519.25,5,0.45,34,17,0.411
M,20080806,19.68,9974519.25,0.0,9974519.25,5,0.45,35,17,0.41
M,20080807,18.92,9974519.25,0.0,9974519.25,5,0.45,35,17,0.408
M,20080808,20.73,9974519.25,0.0,9974519.25,5,-0.525,35,17,0.407
M,20080811,21.65,9974519.25,0.0,9974519.25,5,0.0,35,17,0.406
M,20080812,20.27,9969115.17,79377.32,9889737.85,5,0.45,35,17,0.405
M,20080813,20.66,9970642.41,80904.56,9889737.85,5,0.45,35,17,0.404
M,20080814,21.22,9972835.37,83097.52,9889737.85,5,0.45,35,17,0.402
M,20080815,21.49,9973892.69,84154.84,9889737.85,5,0.45,35,17,0.401
M,20080818,21.82,9975184.97,85447.12,9889737.85,5,0.45,35,17,0.4
M,20080819,20.32,9969310.97,79573.12,9889737.85,5,0.787,35,17,0.399
M,20080820,19.67,9966765.57,77027.72,9889737.85,5,0.45,34,17,0.398
M,20080821,19.44,9965864.89,76127.04,9889737.85,5,0.675,35,17,0.396
M,20080822,20.13,9968566.93,78829.08,9889737.85,5,0.45,35,17,0.395
M,20080825,19.57,9966373.97,76636.12,9889737.85,5,0.45,35,17,0.394
M,20080826,19.5,9966099.85,76362.0,9889737.85,5,0.675,35,17,0.393
M,20080827,19.69,9966843.89,77106.04,9889737.85,5,0.45,35,17,0.392
M,20080828,20.65,9970603.25,80865.4,9889737.85,5,0.675,35,17,0.39
M,20080829,20.82,9971268.97,81531.12,9889737.85,5,0.675,35,17,0.389
M,20080902,21.62,9974401.77,84663.92,9889737.85,5,0.45,35,17,0.388
M,20080903,21.89,9975459.09,85721.24,9889737.85,5,0.45,35,17,0.387
M,20080904,20.69,9970759.89,81022.04,9889737.85,5,0.45,35,17,0.386
M,20080905,21.08,9972287.13,82549.28,9889737.85,5,0.45,35,17,0.385
M,20080908,22.38,9977377.93,87640.08,9889737.85,5,0.759,35,17,0.383
M,20080909,21.8,9975106.65,85368.8,9889737.85,5,0.45,34,17,0.382
M,20080910,21.88,9975419.93,85682.08,9889737.85,5,0.45,35,17,0.381
M,20080911,21.85,9975302.45,85564.6,9889737.85,5,0.45,35,17,0.38
M,20080912,20.81,9971229.81,81491.96,9889737.85,5,0.45,35,17,0.379
M,20080915,19.46,9965943.21,76205.36,9889737.85,5,0.45,35,17,0.378
M,20080916,20.17,9968723.57,78985.72,9889737.85,5,0.45,35,17,0.377
M,20080917,18.55,9962379.65,72641.8,9889737.85,5,0.0,35,17,0.376
